,Cluster
0,0
1,1
2,2
3,0
4,2
5,1
6,0
7,1
8,2
9,1
10,2
11,1
12,0
13,2
14,1
15,0
16,0
17,1
18,0
19,2
20,1
21,0
22,0
23,0
24,0
25,0
26,2
27,1
28,2
29,1
30,2
31,2
32,0
33,2
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,2
44,2
45,0
46,1
47,0
48,0
49,0
50,0
51,2
52,0
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,2
63,0
64,0
65,1
66,0
67,1
68,1
69,1
70,2
71,1
72,1
73,2
74,0
75,1
76,2
77,2
78,0
79,1
80,0
81,2
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,2
97,2
98,1
99,0
100,2
101,0
102,2
103,1
104,0
105,0
106,0
107,0
108,2
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,2
121,0
122,1
123,1
124,0
125,1
126,2
127,2
128,0
129,2
130,0
131,1
132,1
133,1
134,1
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,3
144,0
145,0
146,1
147,1
148,0
149,0
150,1
151,0
152,1
153,0
154,2
155,1
156,1
157,2
158,0
159,2
160,0
161,2
162,0
163,1
164,1
165,0
166,2
167,0
168,0
169,1
170,0
171,2
172,1
173,1
174,1
175,0
176,1
177,2
178,1
179,2
180,0
181,0
182,2
183,1
184,0
185,0
186,0
187,2
188,0
189,1
190,1
191,1
192,0
193,2
194,1
195,1
196,3
197,1
198,0
199,3
200,0
201,3
202,1
203,1
204,2
205,0
206,2
207,2
208,2
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,2
218,2
219,0
220,1
221,1
222,1
223,1
224,2
225,2
226,0
227,2
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,2
236,2
237,2
238,1
239,2
240,2
241,1
242,1
243,2
244,1
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,2
258,0
259,0
260,2
261,2
262,0
263,1
264,0
265,2
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,1
278,0
279,0
280,2
281,0
282,0
283,0
284,1
285,1
286,0
287,2
288,0
289,0
290,2
291,1
292,2
293,2
294,2
295,0
296,2
297,0
298,1
299,1
300,1
301,0
302,2
303,1
304,1
305,2
306,1
307,1
308,1
309,2
310,1
311,1
312,0
313,1
314,2
315,2
316,2
317,1
318,0
319,1
320,0
321,1
322,1
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,1
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,0
346,0
347,0
348,2
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,2
358,0
359,2
360,3
361,0
362,0
363,2
364,1
365,1
366,1
367,3
368,0
369,2
370,0
371,1
372,1
373,1
374,0
375,2
376,2
377,0
378,0
379,1
380,0
381,1
382,1
383,2
384,2
385,2
386,0
387,0
388,0
389,1
390,1
391,0
392,1
393,0
394,2
395,1
396,0
397,0
398,1
399,2
400,0
401,2
402,1
403,3
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,2
427,0
428,2
429,1
430,0
431,2
432,2
433,2
434,1
435,2
436,0
437,0
438,1
439,2
440,2
441,1
442,1
443,1
444,2
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,2
458,0
459,2
460,0
461,0
462,1
463,2
464,1
465,0
466,1
467,0
468,2
469,2
470,2
471,0
472,2
473,0
474,1
475,0
476,0
477,1
478,1
479,0
480,2
481,2
482,2
483,0
484,2
485,0
486,0
487,2
488,0
489,2
490,1
491,2
492,2
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,1
502,1
503,1
504,1
505,2
506,2
507,2
508,2
509,1
510,2
511,1
512,0
513,1
514,0
515,1
516,1
517,0
518,1
519,1
520,1
521,3
522,0
523,1
524,0
525,0
526,0
527,1
528,1
529,1
530,1
531,1
532,2
533,2
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,2
542,0
543,2
544,0
545,2
546,1
547,0
548,0
549,2
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,2
558,0
559,1
560,0
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,0
573,2
574,2
575,0
576,2
577,0
578,0
579,1
580,1
581,2
582,2
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,0
591,2
592,2
593,0
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,0
610,2
611,2
612,1
613,1
614,0
615,2
616,1
617,0
618,1
619,2
620,1
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,2
632,1
633,1
634,0
635,0
636,0
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,2
645,2
646,0
647,1
648,0
649,1
650,3
651,1
652,1
653,1
654,1
655,2
656,0
657,1
658,0
659,1
660,2
661,2
662,1
663,1
664,2
665,1
666,2
667,0
668,1
669,1
670,1
671,0
672,2
673,2
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,2
684,1
685,0
686,0
687,0
688,0
689,1
690,2
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,3
699,1
700,1
701,2
702,0
703,0
704,0
705,0
706,2
707,0
708,1
709,1
710,1
711,1
712,1
713,0
714,1
715,1
716,0
717,1
718,2
719,1
720,2
721,2
722,2
723,0
724,0
725,1
726,1
727,1
728,1
729,2
730,2
731,0
732,1
733,1
734,1
735,1
736,3
737,2
738,0
739,2
740,2
741,0
742,1
743,0
744,1
745,0
746,2
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,1
755,1
756,1
757,2
758,1
759,1
760,0
761,0
762,1
763,2
764,2
765,0
766,0
767,2
768,0
769,0
770,0
771,2
772,1
773,1
774,0
775,2
776,2
777,1
778,0
779,2
780,0
781,0
782,0
783,1
784,1
785,2
786,0
787,1
788,0
789,0
790,0
791,3
792,1
793,0
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,0
802,2
803,0
804,1
805,0
806,0
807,0
808,0
809,0
810,1
811,0
812,1
813,1
814,1
815,2
816,1
817,1
818,1
819,0
820,2
821,1
822,1
823,0
824,0
825,2
826,0
827,1
828,2
829,1
830,1
831,1
832,1
833,1
834,0
835,0
836,1
837,0
838,0
839,1
840,2
841,0
842,3
843,0
844,0
845,1
846,0
847,0
848,1
849,0
850,0
851,2
852,1
853,0
854,1
855,2
856,0
857,2
858,2
859,1
860,1
861,1
862,0
863,0
864,2
865,1
866,0
867,2
868,2
869,0
870,2
871,0
872,2
873,0
874,0
875,1
876,1
877,0
878,1
879,0
880,2
881,0
882,1
883,0
884,1
885,2
886,0
887,0
888,1
889,2
890,1
891,1
892,1
893,1
894,1
895,2
896,0
897,2
898,2
899,0
900,1
901,1
902,1
903,2
904,0
905,0
906,1
907,2
908,1
909,1
910,1
911,2
912,0
913,0
914,0
915,2
916,2
917,1
918,1
919,2
920,1
921,2
922,1
923,2
924,1
925,1
926,0
927,1
928,1
929,1
930,1
931,0
932,0
933,0
934,1
935,0
936,2
937,1
938,1
939,0
940,0
941,1
942,0
943,1
944,2
945,2
946,2
947,0
948,0
949,0
950,1
951,0
952,0
953,1
954,1
955,1
956,0
957,1
958,1
959,1
960,0
961,0
962,2
963,2
964,2
965,0
966,2
967,0
968,1
969,1
970,1
971,2
972,2
973,1
974,3
975,3
976,0
977,1
978,1
979,1
980,1
981,1
982,3
983,1
984,2
985,1
986,1
987,2
988,2
989,0
990,1
991,0
992,0
993,0
994,1
995,2
996,2
997,1
998,1
999,0
1000,0
1001,2
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,0
1009,2
1010,0
1011,1
1012,1
1013,0
1014,0
1015,0
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,0
1023,1
1024,0
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,2
1036,2
1037,2
1038,1
1039,0
1040,0
1041,0
1042,0
1043,1
1044,2
1045,1
1046,1
1047,0
1048,1
1049,2
1050,2
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,1
1058,2
1059,0
1060,2
